"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
01,"Alabama",64.5667,113,1.4815,63.1
02,"Arizona",61.475,116,2.1331,59.3
03,"Arkansas",61.475,102,1.0584,60.4
04,"California",60.4167,125,3.0527,57.4
05,"Colorado",47.1417,122,2.5537,44.6
06,"Connecticut",50.375,113,2.3378,48
07,"Delaware",56.6,113,2.4135,54.2
08,"Florida",73.2167,127,3.0957,70.1
09,"Georgia",65.2667,122,1.9035,63.4
10,"Idaho",46.1333,127,3.5504,42.6
11,"Illinois",52.975,102,1.3596,51.6
12,"Indiana",52.4917,95,1.18,51.3
13,"Iowa",49.1,103,1.5886,47.5
14,"Kansas",56.2917,118,2.1619,54.1
15,"Kentucky",56.5167,92,1.0236,55.5
16,"Louisiana",68.225,121,1.8387,66.4
17,"Maine",41.925,110,1.8407,40.1
18,"Maryland",55.5583,110,1.7942,53.8
19,"Massachusetts",49.0167,112,2.0967,46.9
20,"Michigan",45.5833,110,2.0396,43.5
21,"Minnesota",43.4,120,3.3354,40.1
22,"Mississippi",65.2833,117,1.6553,63.6
23,"Missouri",55.8167,102,1.3193,54.5
24,"Montana",44.75,128,3.618,41.1
25,"Nebraska",50.7083,119,2.3202,48.4
26,"Nevada",52.3417,124,2.869,49.5
27,"New Hampshire",44.3083,111,1.9805,42.3
28,"New Jersey",54.1583,116,2.7173,51.4
29,"New Mexico",54.8333,117,1.9978,52.8
30,"New York",46.3167,112,1.8193,44.5
31,"North Carolina",60.4333,118,1.9039,58.5
32,"North Dakota",43.2583,122,3.575,39.7
33,"Ohio",51.85,100,1.4348,50.4
34,"Oklahoma",60.8667,105,1.1918,59.7
35,"Oregon",49.9417,128,3.4692,46.5
36,"Pennsylvania",49.7,106,1.5721,48.1
37,"Rhode Island",50.9167,112,2.3556,48.6
38,"South Carolina",64.425,121,2.0267,62.4
39,"South Dakota",47.2917,116,2.7359,44.6
40,"Tennessee",58.925,100,1.2551,57.7
41,"Texas",66,110,1.3706,64.6
42,"Utah",50.275,124,2.7477,47.5
43,"Vermont",43.3583,112,2.0278,41.3
44,"Virginia",56.475,113,1.6654,54.8
45,"Washington",49.8,128,3.6684,46.1
46,"West Virginia",53.0417,105,1.4622,51.6
47,"Wisconsin",44.8917,118,2.5361,42.4
48,"Wyoming",43.9167,126,3.1694,40.7
