"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
01,"Alabama",64.9083,120,1.8232,63.1
02,"Arizona",61.55,118,2.2081,59.3
03,"Arkansas",63.4,128,2.9834,60.4
04,"California",59.1417,114,1.7777,57.4
05,"Colorado",47.775,126,3.187,44.6
06,"Connecticut",52.225,128,4.1878,48
07,"Delaware",58.3167,128,4.1302,54.2
08,"Florida",72.2833,120,2.1623,70.1
09,"Georgia",65.7083,126,2.3452,63.4
10,"Idaho",44.55,120,1.9671,42.6
11,"Illinois",55.55,128,3.9346,51.6
12,"Indiana",54.925,128,3.6133,51.3
13,"Iowa",51.7,128,4.1886,47.5
14,"Kansas",57.9,128,3.7702,54.1
15,"Kentucky",58.2417,125,2.7486,55.5
16,"Louisiana",68.4917,126,2.1053,66.4
17,"Maine",43.6583,125,3.5741,40.1
18,"Maryland",57.4,128,3.6358,53.8
19,"Massachusetts",51.0917,127,4.1717,46.9
20,"Michigan",48.25,128,4.7063,43.5
21,"Minnesota",44.6167,127,4.5521,40.1
22,"Mississippi",65.5417,122,1.9137,63.6
23,"Missouri",58.3417,128,3.8443,54.5
24,"Montana",44.25,126,3.118,41.1
25,"Nebraska",52.3083,128,3.9202,48.4
26,"Nevada",51.6083,120,2.1357,49.5
27,"New Hampshire",46.3833,127,4.0555,42.3
28,"New Jersey",55.725,128,4.284,51.4
29,"New Mexico",55.45,123,2.6144,52.8
30,"New York",48.7,128,4.2027,44.5
31,"North Carolina",60.7333,123,2.2039,58.5
32,"North Dakota",43.4167,125,3.7333,39.7
33,"Ohio",53.8833,127,3.4682,50.4
34,"Oklahoma",62.9,128,3.2252,59.7
35,"Oregon",47.625,99,1.1526,46.5
36,"Pennsylvania",51.7167,128,3.5887,48.1
37,"Rhode Island",52.6167,127,4.0556,48.6
38,"South Carolina",64.6667,124,2.2683,62.4
39,"South Dakota",48.7667,128,4.2109,44.6
40,"Tennessee",60.2167,126,2.5467,57.7
41,"Texas",67.5583,127,2.9289,64.6
42,"Utah",50,121,2.4727,47.5
43,"Vermont",45.6167,128,4.2862,41.3
44,"Virginia",57.5167,125,2.7071,54.8
45,"Washington",46.925,91,0.7934,46.1
46,"West Virginia",54.2333,125,2.6539,51.6
47,"Wisconsin",47.0583,128,4.7027,42.4
48,"Wyoming",44.3583,128,3.6111,40.7
