"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
01,"Alabama",64.0333,97,0.9482,63.1
02,"Arizona",63.475,128,4.1331,59.3
03,"Arkansas",61.75,111,1.3334,60.4
04,"California",60.9,127,3.536,57.4
05,"Colorado",48.2917,128,3.7037,44.6
06,"Connecticut",50.3167,111,2.2794,48
07,"Delaware",57.1,120,2.9135,54.2
08,"Florida",72.1917,118,2.0707,70.1
09,"Georgia",64.9333,111,1.5702,63.4
10,"Idaho",45.25,126,2.6671,42.6
11,"Illinois",53.725,116,2.1096,51.6
12,"Indiana",53.2,115,1.8883,51.3
13,"Iowa",49.4667,111,1.9553,47.5
14,"Kansas",56.2417,117,2.1119,54.1
15,"Kentucky",56.9083,106,1.4152,55.5
16,"Louisiana",67.6667,112,1.2803,66.4
17,"Maine",41.825,107,1.7408,40.1
18,"Maryland",56.075,115,2.3108,53.8
19,"Massachusetts",48.9917,112,2.0717,46.9
20,"Michigan",45.8583,111,2.3146,43.5
21,"Minnesota",42.2833,109,2.2187,40.1
22,"Mississippi",64.7083,101,1.0803,63.6
23,"Missouri",56.5333,117,2.036,54.5
24,"Montana",43.7167,117,2.5847,41.1
25,"Nebraska",50.525,113,2.1368,48.4
26,"Nevada",53,127,3.5273,49.5
27,"New Hampshire",44.3167,111,1.9888,42.3
28,"New Jersey",54.0083,111,2.5673,51.4
29,"New Mexico",56.3667,128,3.5311,52.8
30,"New York",46.1833,108,1.686,44.5
31,"North Carolina",60.2083,115,1.6789,58.5
32,"North Dakota",42.0583,111,2.375,39.7
33,"Ohio",52.425,113,2.0098,50.4
34,"Oklahoma",61.45,117,1.7752,59.7
35,"Oregon",48.9333,123,2.4609,46.5
36,"Pennsylvania",49.8833,111,1.7554,48.1
37,"Rhode Island",50.9833,113,2.4222,48.6
38,"South Carolina",64.1667,118,1.7683,62.4
39,"South Dakota",46.9,110,2.3442,44.6
40,"Tennessee",58.9667,108,1.2968,57.7
41,"Texas",66.7333,123,2.1039,64.6
42,"Utah",51.2917,128,3.7644,47.5
43,"Vermont",43.1083,109,1.7778,41.3
44,"Virginia",56.6167,114,1.8071,54.8
45,"Washington",47.7,115,1.5684,46.1
46,"West Virginia",53.1333,106,1.5539,51.6
47,"Wisconsin",44.3667,109,2.0111,42.4
48,"Wyoming",43.9,126,3.1527,40.7
