"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
01,"Alabama",62.8,45,-0.2852,63.1
02,"Arizona",60.3333,90,0.9914,59.3
03,"Arkansas",61.2667,92,0.8501,60.4
04,"California",57.725,74,0.361,57.4
05,"Colorado",45.975,103,1.387,44.6
06,"Connecticut",51.0333,121,2.9961,48
07,"Delaware",56.4167,111,2.2302,54.2
08,"Florida",69.3917,21,-0.7293,70.1
09,"Georgia",62.9583,36,-0.4048,63.4
10,"Idaho",42.975,74,0.3921,42.6
11,"Illinois",52.9917,102,1.3763,51.6
12,"Indiana",52.5833,97,1.2717,51.3
13,"Iowa",48.2917,92,0.7802,47.5
14,"Kansas",55.2833,99,1.1536,54.1
15,"Kentucky",56.0417,76,0.5486,55.5
16,"Louisiana",66.5667,67,0.1803,66.4
17,"Maine",44.2667,127,4.1824,40.1
18,"Maryland",55.6333,110,1.8692,53.8
19,"Massachusetts",50.0583,122,3.1383,46.9
20,"Michigan",46.7083,122,3.1646,43.5
21,"Minnesota",42.525,112,2.4604,40.1
22,"Mississippi",63.6167,56,-0.0113,63.6
23,"Missouri",55.3083,93,0.811,54.5
24,"Montana",41.4333,66,0.3013,41.1
25,"Nebraska",49.2,83,0.8118,48.4
26,"Nevada",50.05,81,0.5773,49.5
27,"New Hampshire",45.625,124,3.2972,42.3
28,"New Jersey",54.3417,117,2.9007,51.4
29,"New Mexico",54.1917,103,1.3561,52.8
30,"New York",46.9833,116,2.486,44.5
31,"North Carolina",58.9833,77,0.4539,58.5
32,"North Dakota",40.6,85,0.9167,39.7
33,"Ohio",51.5833,96,1.1682,50.4
34,"Oklahoma",60.2833,94,0.6085,59.7
35,"Oregon",46.8667,73,0.3943,46.5
36,"Pennsylvania",49.8167,109,1.6888,48.1
37,"Rhode Island",51.7,122,3.1389,48.6
38,"South Carolina",62.5583,70,0.16,62.4
39,"South Dakota",44.9833,75,0.4276,44.6
40,"Tennessee",58.0083,75,0.3384,57.7
41,"Texas",65.15,90,0.5206,64.6
42,"Utah",48.1833,85,0.6561,47.5
43,"Vermont",44.5083,122,3.1778,41.3
44,"Virginia",55.875,96,1.0654,54.8
45,"Washington",46.7333,82,0.6017,46.1
46,"West Virginia",52,75,0.4206,51.6
47,"Wisconsin",45.225,119,2.8694,42.4
48,"Wyoming",41.7917,92,1.0444,40.7
