"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
01,"Alabama",66.125,128,3.0398,63.1
02,"Arizona",62.2167,126,2.8747,59.3
03,"Arkansas",63.2667,127,2.8501,60.4
04,"California",59.9417,122,2.5777,57.4
05,"Colorado",47.2583,124,2.6703,44.6
06,"Connecticut",52.025,127,3.9877,48
07,"Delaware",57.7667,125,3.5802,54.2
08,"Florida",72.9583,126,2.8373,70.1
09,"Georgia",66.525,128,3.1618,63.4
10,"Idaho",44.4833,118,1.9004,42.6
11,"Illinois",55.1667,127,3.5513,51.6
12,"Indiana",54.75,127,3.4383,51.3
13,"Iowa",51.1,126,3.5886,47.5
14,"Kansas",57.25,125,3.1202,54.1
15,"Kentucky",58.7,128,3.2069,55.5
16,"Louisiana",69.4083,128,3.022,66.4
17,"Maine",43.375,122,3.2908,40.1
18,"Maryland",56.9833,126,3.2192,53.8
19,"Massachusetts",50.5667,126,3.6467,46.9
20,"Michigan",47.6083,126,4.0646,43.5
21,"Minnesota",44.7333,128,4.6688,40.1
22,"Mississippi",66.675,128,3.047,63.6
23,"Missouri",57.8167,127,3.3193,54.5
24,"Montana",43.9417,120,2.8097,41.1
25,"Nebraska",51.55,125,3.1618,48.4
26,"Nevada",51.7667,122,2.294,49.5
27,"New Hampshire",45.9667,126,3.6388,42.3
28,"New Jersey",55.35,126,3.909,51.4
29,"New Mexico",55.7667,127,2.9311,52.8
30,"New York",47.9917,127,3.4943,44.5
31,"North Carolina",61.425,127,2.8956,58.5
32,"North Dakota",44.0833,128,4.4,39.7
33,"Ohio",54.1917,128,3.7765,50.4
34,"Oklahoma",62.5333,126,2.8585,59.7
35,"Oregon",48.2333,114,1.7609,46.5
36,"Pennsylvania",51.4667,127,3.3387,48.1
37,"Rhode Island",52.45,125,3.8889,48.6
38,"South Carolina",65.5583,128,3.16,62.4
39,"South Dakota",48.075,126,3.5193,44.6
40,"Tennessee",61.1417,128,3.4718,57.7
41,"Texas",67.5167,126,2.8873,64.6
42,"Utah",50.175,122,2.6478,47.5
43,"Vermont",44.975,126,3.6445,41.3
44,"Virginia",57.7,127,2.8904,54.8
45,"Washington",47.8917,117,1.7601,46.1
46,"West Virginia",54.9667,128,3.3872,51.6
47,"Wisconsin",46.4583,125,4.1028,42.4
48,"Wyoming",43.4083,123,2.6611,40.7
