"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
01,"Alabama",64.5833,113,1.4982,63.1
02,"Arizona",60.65,100,1.3081,59.3
03,"Arkansas",62.4,121,1.9834,60.4
04,"California",57.5417,64,0.1777,57.4
05,"Colorado",45.8833,102,1.2953,44.6
06,"Connecticut",51.5667,125,3.5294,48
07,"Delaware",58.175,127,3.9885,54.2
08,"Florida",72.05,116,1.929,70.1
09,"Georgia",65.325,122,1.9618,63.4
10,"Idaho",42.6167,56,0.0337,42.6
11,"Illinois",53.9167,119,2.3013,51.6
12,"Indiana",53.7917,121,2.48,51.3
13,"Iowa",49.3833,108,1.8719,47.5
14,"Kansas",55.9417,113,1.8119,54.1
15,"Kentucky",57.6333,120,2.1403,55.5
16,"Louisiana",68.4083,125,2.022,66.4
17,"Maine",43.0083,118,2.9241,40.1
18,"Maryland",57.175,127,3.4108,53.8
19,"Massachusetts",50.3333,123,3.4133,46.9
20,"Michigan",46.3,116,2.7562,43.5
21,"Minnesota",43.1417,118,3.0771,40.1
22,"Mississippi",65.1667,114,1.5387,63.6
23,"Missouri",56.4417,115,1.9443,54.5
24,"Montana",42.0833,87,0.9513,41.1
25,"Nebraska",49.6167,94,1.2285,48.4
26,"Nevada",49.7417,71,0.269,49.5
27,"New Hampshire",45.425,122,3.0972,42.3
28,"New Jersey",55.5583,127,4.1173,51.4
29,"New Mexico",55.0167,119,2.1811,52.8
30,"New York",47.7417,124,3.2443,44.5
31,"North Carolina",61.0333,126,2.5039,58.5
32,"North Dakota",41.7917,109,2.1083,39.7
33,"Ohio",53.025,123,2.6098,50.4
34,"Oklahoma",62.2833,125,2.6085,59.7
35,"Oregon",46.3167,49,-0.1557,46.5
36,"Pennsylvania",51.0583,125,2.9304,48.1
37,"Rhode Island",52.3167,124,3.7556,48.6
38,"South Carolina",64.7417,124,2.3433,62.4
39,"South Dakota",45.8083,94,1.2526,44.6
40,"Tennessee",59.65,121,1.9801,57.7
41,"Texas",67.7917,128,3.1623,64.6
42,"Utah",48.075,79,0.5478,47.5
43,"Vermont",44.775,125,3.4445,41.3
44,"Virginia",57.55,126,2.7404,54.8
45,"Washington",45.4083,27,-0.7233,46.1
46,"West Virginia",54.15,125,2.5706,51.6
47,"Wisconsin",44.85,117,2.4944,42.4
48,"Wyoming",41.4583,85,0.7111,40.7
