"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
01,"Alabama",64.9583,122,1.8732,63.1
02,"Arizona",61.8333,123,2.4914,59.3
03,"Arkansas",61.5917,105,1.1751,60.4
04,"California",59.8917,122,2.5277,57.4
05,"Colorado",46.8583,121,2.2703,44.6
06,"Connecticut",50.8917,119,2.8544,48
07,"Delaware",57.35,123,3.1635,54.2
08,"Florida",72.5583,123,2.4373,70.1
09,"Georgia",65.5583,124,2.1952,63.4
10,"Idaho",44.1833,109,1.6004,42.6
11,"Illinois",52.5833,92,0.9679,51.6
12,"Indiana",52.8,103,1.4883,51.3
13,"Iowa",47.5667,64,0.0552,47.5
14,"Kansas",54.7167,79,0.5869,54.1
15,"Kentucky",57.3833,116,1.8903,55.5
16,"Louisiana",68.25,121,1.8637,66.4
17,"Maine",41.6917,104,1.6074,40.1
18,"Maryland",56.175,117,2.4108,53.8
19,"Massachusetts",49.5917,116,2.6717,46.9
20,"Michigan",44.8417,97,1.2979,43.5
21,"Minnesota",40.275,67,0.2104,40.1
22,"Mississippi",65.2917,117,1.6637,63.6
23,"Missouri",55.45,95,0.9527,54.5
24,"Montana",41.525,67,0.393,41.1
25,"Nebraska",48.5417,72,0.1535,48.4
26,"Nevada",51.6417,120,2.169,49.5
27,"New Hampshire",44.425,112,2.0972,42.3
28,"New Jersey",54.375,118,2.934,51.4
29,"New Mexico",55.3917,123,2.5561,52.8
30,"New York",46.2167,108,1.7193,44.5
31,"North Carolina",60.9417,125,2.4123,58.5
32,"North Dakota",39.625,58,-0.0583,39.7
33,"Ohio",52.3917,113,1.9765,50.4
34,"Oklahoma",60.3417,94,0.6668,59.7
35,"Oregon",48.2583,116,1.7859,46.5
36,"Pennsylvania",49.9833,113,1.8554,48.1
37,"Rhode Island",51.675,122,3.1139,48.6
38,"South Carolina",64.7583,126,2.36,62.4
39,"South Dakota",44.125,56,-0.4307,44.6
40,"Tennessee",59.6167,121,1.9468,57.7
41,"Texas",66.2833,118,1.6539,64.6
42,"Utah",49.9167,119,2.3894,47.5
43,"Vermont",43.0833,109,1.7528,41.3
44,"Virginia",56.9417,118,2.1321,54.8
45,"Washington",47.95,119,1.8184,46.1
46,"West Virginia",53.7167,119,2.1372,51.6
47,"Wisconsin",43.0333,82,0.6778,42.4
48,"Wyoming",42.15,102,1.4028,40.7
